Beer    Offers
Budweiser   22.2% discount on Budweiser
Corona Extra    23.567% discount on Corona Extra
Stella Artois   29% discount on Stella Artois
Aguila  24.678% discount on Aguila
Becks Blue  23.5% discount on Becks Blue
Bogota Lager    24% discount on Bogota Lager
Contender   51% discount on Contender
Brahma Chopp    21% discount on Brahma Chopp
Bud Light   19.5% discount on Bud Light
Cass Fresh  18% discount on Cass Fresh
Castle Lager    16% discount on Castle Lager
Cusqueña Dorada 10.5% discount on Cusqueña Dorada 
Eagle Lager 11% discount on Eagle Lager   
Goose Island Bourbon County Brand Stout 12.38% discount on Goose Island Bourbon County Brand Stout
Harbin  15.2% discount on Harbin
Haywards 5000   9.5% discount on Haywards 5000 
Hero    12.34% discount on Hero   
Hoegaarden  20% discount on Hoegaarden 
Jupiler 32% discount on Jupiler 
Labatt Blue 27% discount on Labatt Blue 
Leffe   14% discount on Leffe    
Michelob ULTRA  12% discount on Michelob ULTRA  
Modelo Especial 15% discount on Modelo Especial  
Patagonia 24.7  18.5% discount on Patagonia 24.7 
Quilmes 22.5% discount on Quilmes  
Salva Vida  28% discount on Salva Vida   
Skol    31% discount on Skol    
Victoria    29% discount on Victoria  
Wäls Brut   25% discount on Wäls Brut  
